,Year,Country_Name,Value
3,2022.0,Belgium,19.54722222222222
4,2022.0,Ireland,30.034803723188997
5,2022.0,Norfolk Island [Australia],46.716
6,2022.0,Philippines,97.07057416267942
7,2022.0,Spain,14.670819499177709
8,2022.0,Mali,74.14415781487102
9,2022.0,Guinea-Bissau,136.9318181818182
1076,2022.0,Guam [United States],76.14290621779458
1077,2022.0,Jan Mayen [Norway],19.635616438356163
1078,2022.0,Turkmenistan,27.34013605442177
1079,2022.0,Guinea,160.25581395348837
1605,2022.0,Denmark,15.18435754189944
1606,2022.0,Tunisia,5.152785755313039
1607,2022.0,Dominican Republic,55.47412587412588
1608,2022.0,Angola,293.15384615384613
2156,2022.0,Armenia,36.48697621744054
2157,2022.0,Jordan,50.86842105263158
2158,2022.0,Slovakia,20.982700892857142
2159,2022.0,Madagascar,97.3308613804906
2160,2022.0,Reunion [France],44.96153846153846
2161,2022.0,Wake Island [United States],91.0
2837,2022.0,France,15.806156115359236
2838,2022.0,India,109.61045466221422
2839,2022.0,Luxembourg,17.457534246575342
2840,2022.0,Mexico,16.659789620503282
3362,2022.0,Macau S.A.R,56.96022727272727
3363,2022.0,Maldives,9.46319018404908
3364,2022.0,Seychelles,58.84593837535014
3365,2022.0,Ukraine,33.74518860662048
3366,2022.0,Kyrgyzstan,166.1963746223565
3367,2022.0,Papua New Guinea,46.26943005181347
3972,2022.0,Cameroon,109.86514522821577
3973,2022.0,Cook Islands [New Zealand],53.18257261410788
3974,2022.0,Czech Republic,23.06616161616161
3975,2022.0,Palau,107.81235697940504
3976,2022.0,Central African Republic,96.16477272727272
4533,2022.0,Cyprus,8.799418604651162
4534,2022.0,Ecuador,64.63178294573643
4535,2022.0,Georgia,13.563097514340344
4536,2022.0,Mayotte [France],32.67313019390582
4537,2022.0,Oman,26.061678463094037
4538,2022.0,Svalbard [Norway],15.3983286908078
4539,2022.0,Wallis and Futuna [France],61.752747252747255
4977,2022.0,Solomon Is.,66.38539553752535
4978,2022.0,Cayman Islands [United Kingdom],33.80357142857143
4979,2022.0,Latvia,14.9003359462486
4980,2022.0,Malaysia,89.72593139063076
4981,2022.0,Romania,14.52421137231264
4982,2022.0,Rwanda,63.97058823529412
4983,2022.0,Cambodia,68.07228915662651
5168,2022.0,Indonesia,173.32986111111111
5169,2022.0,Pakistan,25.23291256157636
5170,2022.0,Puerto Rico [United States],58.0997599759976
5171,2022.0,Russia,15.266408444457586
5172,2022.0,Ethiopia,75.17914438502673
5173,2022.0,Burkina Faso,77.3627844712182
5174,2022.0,Chad,81.2852233676976
6092,2022.0,Finland,16.254450195682363
6093,2022.0,Japan,48.78435861773831
6094,2022.0,Nepal,37.82448377581121
6095,2022.0,Tanzania,87.19500594530321
6096,2022.0,Virgin Islands [United States],32.79589566077389
6097,2022.0,Malawi,91.36764705882354
6412,2022.0,Bosnia and Herzegovina,22.83125
6413,2022.0,Germany,18.58566192965564
6414,2022.0,Sweden,16.35858833170108
6415,2022.0,Brunei,116.82352941176472
6416,2022.0,Peru,53.67751479289941
6417,2022.0,Niger,72.58279845956355
6418,2022.0,Gambia,125.34246575342466
7017,2022.0,Australia,26.842490850487987
7018,2022.0,French Guiana [France],141.31005586592178
7019,2022.0,Croatia,19.58210332103321
7020,2022.0,Singapore,62.81137724550898
7335,2022.0,Bolivia,82.38274071114662
7336,2022.0,Estonia,14.684256337721685
7337,2022.0,Serbia,16.80183486238532
7338,2022.0,Togo,72.24079320113314
8281,2022.0,Chile,8.576942871847658
8282,2022.0,Turkey,22.036616520011357
8283,2022.0,Iraq,8.343434343434344
8284,2022.0,Benin,75.69157608695652
8452,2022.0,Bermuda [United Kingdom],40.80722891566265
8453,2022.0,Gabon,88.73140495867769
8454,2022.0,Libya,48.42822384428224
8455,2022.0,Ghana,97.17830188679244
9282,2022.0,China,22.857300024150053
9283,2022.0,Iran,6.339815079592031
9284,2022.0,Poland,18.49984399375975
9285,2022.0,Marshall Islands,94.13424657534246
9286,2022.0,Tuvalu,46.19145299145299
9287,2022.0,Senegal,100.69182389937107
9785,2022.0,United States of America,26.18479056762403
9786,2022.0,Uruguay,33.1023048928427
9787,2022.0,Zambia,59.86666666666667
10046,2022.0,Bangladesh,60.45981308411215
10047,2022.0,Moldova,45.06211180124224
10048,2022.0,Syria,46.38053097345133
10049,2022.0,Namibia,43.75609756097561
10050,2022.0,Cuba,96.42857142857144
11015,2022.0,"Bahamas, The",48.82464846980976
11016,2022.0,Honduras,42.772535804549285
11017,2022.0,Jamaica,22.175925925925927
11018,2022.0,Thailand,103.964960456942
11019,2022.0,Austria,55.81143552311436
11020,2022.0,Laos,109.28317373461012
